,name,location,edition,restaurant_url
0,Hare & Tortoise,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/hare-and-tortoise-editions-bcp?day=today&geohash=gcpuu3ywj8vv&time=ASAP
1,Tao Tao Ju 陶陶居 ,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/tao-tao-ju-editions-bcp?day=today&geohash=gcpuu3ywj8vv&time=ASAP
2,Dishoom ,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/dishoom-editions-bcp?day=today&geohash=gcpuu3ywj8vv&time=ASAP
3,Maroush,London,queenstown-road,https://deliveroo.co.uk/menu/London/queenstown-road/maroush-battersea?day=today&geohash=gcpuu3ywj8vv&time=ASAP
4,Popeyes Louisiana Kitchen,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/popeyes-editions-bcp?day=today&geohash=gcpuu3ywj8vv&time=ASAP
5,The Salad Project ,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/the-salad-project-editions-bcp?day=today&geohash=gcpuu3ywj8vv&time=ASAP
6,Yacob's Kitchen,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/jakobs-kitchen-editions-byr-new?day=today&geohash=gcpuu3ywj8vv&time=ASAP
7,Remedy Kitchen,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/remedy-kitchen-editions-byr?day=today&geohash=gcpuu3ywj8vv&time=ASAP
8,Marlowe's Burgers & Fries,London,queenstown-road,https://deliveroo.co.uk/menu/London/queenstown-road/marlowes-editions-bqr?day=today&geohash=gcpuu3ywj8vv&time=ASAP
9,Motu Indian Kitchen,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/motu-indian-kitchen?day=today&geohash=gcpuu3ywj8vv&time=ASAP
10,Bleecker Burger,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/bleecker-editions-bqr?day=today&geohash=gcpuu3ywj8vv&time=ASAP
11,Poke House 🐠,London,nine-elms,https://deliveroo.co.uk/menu/London/nine-elms/ahi-poke-editions-cla?day=today&geohash=gcpuu3ywj8vv&time=ASAP
12,The Sushi Kitchen,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/the-sushi-kitchen?day=today&geohash=gcpuu3ywj8vv&time=ASAP
13,Yuma Sushi,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/yuma-sushi-editions-wan?day=today&geohash=gcpuu3ywj8vv&time=ASAP
14,Jude's Ice Cream,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/judes-ice-cream-bcp?day=today&geohash=gcpuu3ywj8vv&time=ASAP
15,Remeo Gelato,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/remeo-gelato-editions-byr?day=today&geohash=gcpuu3ywj8vv&time=ASAP
16,TRIP CBD Store,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/trip-cbd-store-editions-byr?day=today&geohash=gcpuu3ywj8vv&time=ASAP
17,Ben & Jerry's Store (Editions Battersea),London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/ben-and-jerrys-store-editions-cla?day=today&geohash=gcpuu3ywj8vv&time=ASAP
18,Mindful Chef,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/mindful-chef-editions-byr?day=today&geohash=gcpuu3ywj8vv&time=ASAP
19,The Poke Kitchen,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/the-poke-kitchen?day=today&geohash=gcpuu3ywj8vv&time=ASAP
20,Alcohol Delivery London- Park Lane,London,fish-island-area,https://deliveroo.co.uk/menu/London/fish-island-area/bow-road-express?day=today&geohash=gcpuu3ywj8vv&time=ASAP
21,Tao Village Dim Sum,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/tao-village-dim-sum-editions-byr?geohash=gcpuu3ywj8vv
22,Forketta,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/barilla-editions-byr?geohash=gcpuu3ywj8vv
23,CANNACOFFEE Store,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/hashtag-editions-byr?geohash=gcpuu3ywj8vv
24,YUN Bento,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/yun-bento-editions-byr?geohash=gcpuu3ywj8vv
25,Banh Banh Vietnamese Kitchen,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/banh-banh-editions-wnw?day=today&geohash=gcpugcwkyb25&time=ASAP
26,Zing Zing,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/zing-zing-editions-wnw?day=today&geohash=gcpugcwkyb25&time=ASAP
27,Rajah Rowing Indian Kitchen,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/rajah-rowing-editions-wnw?day=today&geohash=gcpugcwkyb25&time=ASAP
28,Tao Tao Ju 陶陶居 ,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/tao-tao-ju-editions-wnw?day=today&geohash=gcpuemxvwjnx&time=ASAP
29,Dishoom,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/dishoom-editions-wnw?day=today&geohash=gcpuemxvwjnx&time=ASAP
30,WING·STOP,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/wingstop-wandsworth?day=today&geohash=gcpuemxvwjnx&time=ASAP
31,So Noodle - 一汤一粉,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/shu-la-la-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP
32,Tao Tao Ju 陶陶居 ,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/tao-tao-ju-editions-can?day=today&geohash=gcpvpqp8znt2&time=ASAP
33,Hare & Tortoise ,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/hare-and-tortoise-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP
34,Yacob's Kitchen,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/jakobs-kitchen-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP
35,Mama Li ,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/mama-li-express?day=today&geohash=gcpvpqp8znt2&time=ASAP
36,Remedy Kitchen,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/remedy-kitchen-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP
37,Motu Indian Kitchen,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/motu-indian-kitchen-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP
38,Bronson’s Burgers,London,canary-wharf,https://deliveroo.co.uk/menu/London/canary-wharf/bronsons-burgers-canary-wharf?day=today&geohash=gcpvpqp8znt2&time=ASAP
39,Dishoom,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/dishoom-editions-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP
40,WING·STOP,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/wingstop-editions-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP
41,Popeyes Louisiana Kitchen,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/popeyes-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP
42,Zzetta - Soul Fired Pizza,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/zzettta-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP
43,The Great British Cheesecake Company,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/the-great-british-cheesecake-company-editions-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP
44,Ice Cream Store (Editions Canning Town),London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/ics-editions-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP
45,Remeo Gelato,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/remeo-gelato-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP
46,Jude's Ice Cream,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/judes-ice-cream-editions-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP
47,TRIP CBD Store,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/trip-cbd-store-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP
48,Ice Cream Store (Editions Whitechapel),London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/ics-editions-wme-new?day=today&geohash=gcpvpqp8znt2&time=ASAP
49,Ben & Jerry's Store (Editions Whitechapel),London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/ben-and-jerrys-store-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP
50,🌴 Poke Shack - Whitechapel🌴 ,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/poke-shack-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP
51,Biryaniwalla,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/biryaniwalla?day=today&geohash=gcpvpqp8znt2&time=ASAP
52,Rice Bowl Company,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/rum-and-rice-hammersmith-grove?day=today&geohash=gcpvpqp8znt2&time=ASAP
53,Patri Artisan Street Food and Drinks,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/chai-naasto-hammersmith?day=today&geohash=gcpvpqp8znt2&time=ASAP
54,YUN Restaurant 云南正宗过桥米线,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/yun-editions-blw?geohash=gcpvpqp8znt2
55,YUN Bento 雲便當,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/yun-chinese-editions-blw-canary-wharf?geohash=gcpvpqp8znt2
56,Bronson's Burgers,London,kentish-town,https://deliveroo.co.uk/menu/London/kentish-town/bronsons-burgers-kentish-town?day=today&geohash=gcpvkb1m8c93&time=ASAP
57,Dishoom,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/dishoom-editions-isl?day=today&geohash=gcpvkb1m8c93&time=ASAP
58,Pho,London,hornsey-station,https://deliveroo.co.uk/menu/London/hornsey-station/pho-editions-cre?day=today&geohash=gcpvkb1m8c93&time=ASAP
59,Ben & Jerry's Store,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/ben-and-jerrys-store-editions-isl?day=today&geohash=gcpvkb1m8c93&time=ASAP
60,Poke Shack,London,hornsey-station,https://deliveroo.co.uk/menu/London/hornsey-station/poke-shack-editions-cre?day=today&geohash=gcpvkb1m8c93&time=ASAP
61,Maroush,London,hornsey-station,https://deliveroo.co.uk/menu/London/hornsey-station/maroush-editions-cre?day=today&geohash=gcpvkb1m8c93&time=ASAP
62,Mindful Chef,London,hornsey-station,https://deliveroo.co.uk/menu/London/hornsey-station/mindful-chef-editions-cre?day=today&geohash=gcpvkb1m8c93&time=ASAP
63,Pizza Paradiso ,London,swiss-cottage,https://deliveroo.co.uk/menu/London/swiss-cottage/pizza-paradiso-new-college-parade?geohash=gcpvkb1m8c93
64,Jude's Ice Cream,London,caledonian-road-and-barnsbury,https://deliveroo.co.uk/menu/London/caledonian-road-and-barnsbury/judes-ice-cream-editions-isl?geohash=gcpvkb1m8c93
65,Tao Tao Ju 陶陶居 ,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/tao-tao-ju-editions-whi?day=today&geohash=gcpvjrhmqd3y&time=ASAP
66,Motu Indian Kitchen,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/motu-editions-wme?day=today&geohash=gcpvjrhmqd3y&time=ASAP
67,Jude's Ice Cream,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/judes-ice-cream-editions-wme-new?day=today&geohash=gcpvjrhmqd3y&time=ASAP
68,Dishoom,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/dishoom-shoreditch?day=today&geohash=gcpvnffqn934&time=ASAP
69,Beer and Fried Chicken Co.,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/b-and-fried-chicken-co-editions-blw?geohash=gcpvnffqn934
70,Pasta Evangelists,Cambridge,cambridge-south,https://deliveroo.co.uk/menu/Cambridge/cambridge-south/pasta-evangelists-editions-cam?day=today&geohash=u120gk5v2x5v&time=ASAP
71,Dishoom,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/dishoom-editions-cam?day=today&geohash=u120gk5v2x5v&time=ASAP
72,Burger King ,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/burger-king-editions-cam?day=today&geohash=u120gk5v2x5v&time=ASAP
73,Nomi Katsu 🇯🇵,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/nomi-katsu-editions-cam-new?day=today&geohash=u120gk5v2x5v&time=ASAP
74,Poke Fuzion,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/poke-fuzion-editions-cam?day=today&geohash=u120gk5v2x5v&time=ASAP
75,Zumuku,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/zumu-editions-cam?day=today&geohash=u120gk5v2x5v&time=ASAP
76,Ice Cream Store,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/ics-editions-cambridge-new?day=today&geohash=u120gk5v2x5v&time=ASAP
