,origin_address,lat,lon,nom_address,g_address
0,"15a Parkfield Estate, Battersea, London, SW115BA",51.47134195,-0.153572684,"15a Parkfield Estate, Battersea, London, SW115BA",
1,"15A Parkfield Industrial Estate, Culvert Place, Battersea,, London, SW115BA",51.47134195,-0.153572684,"15a Parkfield Estate, Battersea, London, SW115BA",
2,"Safestore Car Park, Ingate Place, London, SW83NS, London, SW83NS",51.47511444,-0.145202461,"Battersea Park Railway Station, Ingate Pl, Nine Elms, London SW8 3NS",G
3,"15A Parkfield Industrial Estate, Culvert Place, Battersea, London, SW115BA",51.47134195,-0.153572684,"15a Parkfield Estate, Battersea, London, SW115BA",
4,"15A Parkfield Industrial Estate, Culvert Place, London, SW115BA",51.47134195,-0.153572684,"15a Parkfield Estate, Battersea, London, SW115BA",
5,"Unit 13-15, Heliport Industrial Estate, Battersea, London, SW113SS",51.46972537,-0.178480919,"Heliport Industrial Estate, London SW11 3SS",G
6,"Safestore Car Park, Ingate Place, London, SW83NS",51.47511444,-0.145202461,"Battersea Park Railway Station, Ingate Pl, Nine Elms, London SW8 3NS",G
7,"Unit 13-15, Heliport Industrial Estate, London, SW113SS",51.46972537,-0.178480919,"Heliport Industrial Estate, London SW11 3SS",G
8,"Unit 15a Parkfield Industrial Estate, Battersea,, London, SW115BA",51.47134195,-0.153572684,"Unit 15a Parkfield Industrial Estate, Battersea,, London, SW115BA",
9,"Poke House Unit 201, Turbine Hall Battersea Power Station, Circus Road South, London,, London, SW118EZ",51.48194793,-0.144768302,"Battersea Power Station, Turbine, Circus Rd S, London SW11 8BZ",G
10,"Unit 4, 271, Merton Road, London, SW185JS",51.44716666,-0.198205539,"Industrial Estate, 271 Merton Rd, London SW18 5JS",G
11,"Unit 13-15 Heliport industrial Estate, Battersea, London, SW113SS",51.46972537,-0.178480919,"Heliport Industrial Estate, London SW11 3SS",G
12,"Wick Lane, London, E32JG",51.535643,-0.0219653,"Wick Lane, London, E32JG",
13,"Unit 13-15 Heliport industrial Estate, Battersea, London, London, SW113SS",51.46972537,-0.178480919,"Heliport Industrial Estate, London SW11 3SS",G
14,"271 Merton Road, London, SW185JS",51.44718795,-0.1973911,"271 Merton Road, London, SW185JS",
15,"Unit 4, 271 Merton Road, London, SW185JS",51.44716666,-0.198205539,"Industrial Estate, 271 Merton Rd, London SW18 5JS",G
16,"Unit 4, 271 Merton Road, Southfields, London, SW185JS",51.44716666,-0.198205539,"Industrial Estate, 271 Merton Rd, London SW18 5JS",G
17,"Unit 4, 271 Merton Road Industrial Estate, Wandsworth, London, SW185JS",51.44716666,-0.198205539,"Industrial Estate, 271 Merton Rd, London SW18 5JS",G
18,"10 Assembly Passage, London, E14UT",51.5205841,-0.0516174,"10 Assembly Passage, London, E14UT",
19,"Unit 3&4, Galaxy, Crescent Court Business Centre, London, E164TG",51.52342482,1.34E-05,London E16 4TG,G
20,"Prestage Way Car Park, Editions, Blackwall, London, E149QE",51.5086128,-0.006668344,"Station Car Park, Prestage Way, Blackwall, London E14 9QE",G
21,"Kitchen 1, Jacuna Kitchens, 105 Cannon Drive, London, E144AS",51.50702767,-0.026336476,"105 Cannon Dr, London E14 4AS",G
