name,location,edition,restaurant_url
Yacob's Kitchen,London,bsy-1-editions,https://deliveroo.co.uk/menu/London/bsy-1-editions/jakobs-kitchen-editions-bsy?day=today&geohash=gcpuyurpq8k1&time=ASAP
Shake Shack – Burgers & Shakes,London,bsy-1-editions,https://deliveroo.co.uk/menu/London/bsy-1-editions/shake-shack-editions-bsy?day=today&geohash=gcpuyurpq8k1&time=ASAP
Poke Shack,London,bsy-1-editions,https://deliveroo.co.uk/menu/London/bsy-1-editions/poke-shack-editions-bsy?day=today&geohash=gcpuyurpq8k1&time=ASAP
Dishoom ,London,bsy-2-editions,https://deliveroo.co.uk/menu/London/bsy-2-editions/dishoom-editions-ber?day=today&geohash=gcpuyurpq8k1&time=ASAP
WING·STOP,London,bsy-2-editions,https://deliveroo.co.uk/menu/London/bsy-2-editions/wingstop-editions-ber?day=today&geohash=gcpuyurpq8k1&time=ASAP
Remedy Kitchen,London,bsy-1-editions,https://deliveroo.co.uk/menu/London/bsy-1-editions/remedy-kitchen-editions-bsy?day=today&geohash=gcpuyurpq8k1&time=ASAP
Tao Tao Ju 陶陶居,London,bsy-2-editions,https://deliveroo.co.uk/menu/London/bsy-2-editions/tao-tao-ju-carlisle-lane?day=today&geohash=gcpuyurpq8k1&time=ASAP
Coqfighter ,London,honor-oak-park,https://deliveroo.co.uk/menu/London/honor-oak-park/coqfighter-editions-dul?day=today&geohash=gcpuyurpq8k1&time=ASAP
Bronson's Burgers,London,south-bermondsey-area,https://deliveroo.co.uk/menu/London/south-bermondsey-area/bronsons-burgers-ormside-street?day=today&geohash=gcpuyurpq8k1&time=ASAP
Jude's Ice Cream,London,bsy-1-editions,https://deliveroo.co.uk/menu/London/bsy-1-editions/judes-ice-cream-editions-sur?day=today&geohash=gcpuyurpq8k1&time=ASAP
Trip CBD Store ,London,south-bermondsey-area,https://deliveroo.co.uk/menu/London/south-bermondsey-area/trip-cbd-store-peckham?day=today&geohash=gcpuyurpq8k1&time=ASAP
Zing Zing ,London,honor-oak-park,https://deliveroo.co.uk/menu/London/honor-oak-park/zing-zing-editions-dul?geohash=gcpuyurpq8k1
Popeyes Louisiana Kitchen,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/popeyes-editions-bcp?day=today&geohash=gcpuu3ywj8vv&time=ASAP
The Salad Project ,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/the-salad-project-editions-bcp?day=today&geohash=gcpuu3ywj8vv&time=ASAP
Bleecker Burger,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/bleecker-editions-bqr?day=today&geohash=gcpuu3ywj8vv&time=ASAP
Hare & Tortoise,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/hare-and-tortoise-editions-bcp?day=today&geohash=gcpuu3ywj8vv&time=ASAP
Dishoom ,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/dishoom-editions-bcp?day=today&geohash=gcpuu3ywj8vv&time=ASAP
Yacob's Kitchen,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/jakobs-kitchen-editions-byr-new?day=today&geohash=gcpuu3ywj8vv&time=ASAP
Maroush,London,queenstown-road,https://deliveroo.co.uk/menu/London/queenstown-road/maroush-battersea?day=today&geohash=gcpuu3ywj8vv&time=ASAP
Tao Tao Ju 陶陶居 ,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/tao-tao-ju-editions-bcp?day=today&geohash=gcpuu3ywj8vv&time=ASAP
Poke House 🐠,London,nine-elms,https://deliveroo.co.uk/menu/London/nine-elms/ahi-poke-editions-cla?day=today&geohash=gcpuu3ywj8vv&time=ASAP
Marlowe's Burgers & Fries,London,queenstown-road,https://deliveroo.co.uk/menu/London/queenstown-road/marlowes-editions-bqr?day=today&geohash=gcpuu3ywj8vv&time=ASAP
Motu Indian Kitchen,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/motu-indian-kitchen?day=today&geohash=gcpuu3ywj8vv&time=ASAP
Banh Banh Vietnamese Kitchen,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/banh-banh-editions-wnw?day=today&geohash=gcpuu3ywj8vv&time=ASAP
The Sushi Kitchen,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/the-sushi-kitchen?day=today&geohash=gcpuu3ywj8vv&time=ASAP
Jude's Ice Cream,London,culvert-place-editions,https://deliveroo.co.uk/menu/London/culvert-place-editions/judes-ice-cream-bcp?day=today&geohash=gcpuu3ywj8vv&time=ASAP
Mindful Chef,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/mindful-chef-editions-byr?day=today&geohash=gcpuu3ywj8vv&time=ASAP
Ben & Jerry's Store (Editions Battersea),London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/ben-and-jerrys-store-editions-cla?day=today&geohash=gcpuu3ywj8vv&time=ASAP
TRIP CBD Store,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/trip-cbd-store-editions-byr?day=today&geohash=gcpuu3ywj8vv&time=ASAP
Remeo Gelato,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/remeo-gelato-editions-byr?day=today&geohash=gcpuu3ywj8vv&time=ASAP
The Poke Kitchen,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/the-poke-kitchen?day=today&geohash=gcpuu3ywj8vv&time=ASAP
Yuma Sushi,London,wandsworth-editions,https://deliveroo.co.uk/menu/London/wandsworth-editions/yuma-sushi-editions-wan?day=today&geohash=gcpuu3ywj8vv&time=1645
Tao Village Dim Sum,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/tao-village-dim-sum-editions-byr?geohash=gcpuu3ywj8vv
Forketta,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/barilla-editions-byr?geohash=gcpuu3ywj8vv
CANNACOFFEE Store,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/hashtag-editions-byr?geohash=gcpuu3ywj8vv
YUN Bento,London,battersea-york-road,https://deliveroo.co.uk/menu/London/battersea-york-road/yun-bento-editions-byr?geohash=gcpuu3ywj8vv
Popeyes Louisiana Kitchen,London,honor-oak-park,https://deliveroo.co.uk/menu/London/honor-oak-park/popeyes-editions-dul?day=today&geohash=gcpuwvtr0mk9&time=ASAP
Dishoom ,London,honor-oak-park,https://deliveroo.co.uk/menu/London/honor-oak-park/dishoom-editions-dul?day=today&geohash=gcpuwvtr0mk9&time=ASAP
Bleecker Burger,London,bsy-1-editions,https://deliveroo.co.uk/menu/London/bsy-1-editions/bleecker-editions-bsy?day=today&geohash=gcpuwvtr0mk9&time=1630
Popeyes Louisiana Kitchen,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/popeyes-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP
Yacob's Kitchen,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/jakobs-kitchen-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP
Dishoom,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/dishoom-editions-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP
Remedy Kitchen,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/remedy-kitchen-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP
So Noodle - 一汤一粉,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/shu-la-la-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP
Hare & Tortoise ,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/hare-and-tortoise-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP
🌴 Poke Shack - Whitechapel🌴 ,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/poke-shack-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP
Tao Tao Ju 陶陶居 ,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/tao-tao-ju-editions-can?day=today&geohash=gcpvpqp8znt2&time=ASAP
Bronson’s Burgers,London,canary-wharf,https://deliveroo.co.uk/menu/London/canary-wharf/bronsons-burgers-canary-wharf?day=today&geohash=gcpvpqp8znt2&time=ASAP
Motu Indian Kitchen,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/motu-indian-kitchen-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP
WING·STOP,London,canning-town-editions,https://deliveroo.co.uk/menu/London/canning-town-editions/wingstop-editions-blw?day=today&geohash=gcpvpqp8znt2&time=ASAP
Zzetta - Soul Fired Pizza,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/zzettta-editions-whi?day=today&geohash=gcpvpqp8znt2&time=ASAP
TRIP CBD Store,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/trip-cbd-store-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP
Remeo Gelato,London,whitechapel-editions,https://deliveroo.co.uk/menu/London/whitechapel-editions/remeo-gelato-editions-wme?day=today&geohash=gcpvpqp8znt2&time=ASAP
